movie,sentence,score
올빼미,스토리 좋고 연기 좋고 재밌게 봤습니다 !,10
탄생,"종교적인 색채가 크게 뚜렷하진 않습니다. 스토리 자체는 굉장히 좋지만, 연출이나 영상미가 많이 부족하네요. 가창력 좋지 않은 가수가 감동적인 노래 부르는 느낌이에요.",6
원피스 필름 레드,이번 극장판으로 견문색 패기의 중요성을 알게 되었네요. 샹크스 해적단 및 루피 연합의 오마주 전투신은 신선 했으며 잠깐 이지만 루피의 니카모드 짧게 나와서 굿 굿!!! 그리고 역시 마지막 전투장면이 가장 기억에 남는데 그 전 서사 이야기는 다소 지루한 면모가..샹크스의 패왕색은 역시는 역시~~ ,6
압꾸정,보는내내너무힘들었다 재미없고 하 그냥마동석이왜이런영화에웃기지도않고 웃고싶어서 억지로웃어보았다 ,2
늑대사냥,쿠팡플레이로 유료결제  하고 보는 중인데  진짜 잔인하네요온통  피잔치..여태 본 어떤 19금보다  잔인최악ㅡㅡ,6
압꾸정,마동석보고 그냥 봤지만...제돈주고봤으면 돈아까비,4
올빼미,배우분들 연기와 스토리 전개 속도가 좋았음.,10
올빼미,오랜만에 영화잘본거 같네요^^너무너무 재미있었습니다!!배우분들 연기도 좋았습니다!!다들 수고하셨습니다~^^감사합니다!!,10
블랙 팬서: 와칸다 포에버,마지막 춤밖에 기억 안납니다. 와칸다 댄스?♂?,1
원피스 필름 레드,스토리는 그냥 그렇지만 노래는 좋았음~,6
탄생,윤시윤 연기가  압권이었습니다. 김대건 안드레아신부님  정말 대단한 분이십니다몇개국 언어에 통찰력등 역시 주님께서 도구로 쓰신 초대 신부님  ,10
블랙 팬서: 와칸다 포에버,마블 책임자가 바뀌었나요?스토리도 엉성하고 연계성도 하나도 없고재미없어요,2
탄생,"2시간반이 순식간에 지나갈 정도로 전개가 빠르고 희생과 순교로 얻은 값진 신앙을 지키려 했던 깨어있는 선조들 덕분에 지금의 신앙을 갖게된 것, 신분 격차가 심했던 시대에 천주교인 중심으로 신분과 상관없이 누구나 한 형제가 된다는 엄청난 변화를 가져다주고 우리나라 첫 신부님인 김대건 신부님이 탄생하는데 얼마나 힘들었는지.. 정치적인 희생으로 많은 사람들을 박해하고 죽였지만 결국 그들이 지키려는 신앙은 지금까지 이어가고 있음을... 정말 감동이었습니다ㅠㅠ 좋은 영화 만들어 주셔서 관계자분들께 감사드립니다.",10
올빼미,굿 추천합니다 최고라요!,10
탄생,김대건 안드레아의 험난한 고생 이야기. 이외에 주변인물들 이야기도 풍성합니다. 다들 목숨 걸고 신념을 지켜요. 정하상 임치백 현석문 유진길 조신철 김아기 최양업 최방제 등. 끝은 순교. 정말 믿어지지 않았던 건 조그만 배를 타고 서해 건너 중국에 갈수 있었다는 것. 심지어 왕복에 성공. 모든이가 무사히 바다를 건넜다는게 이게 바로 기적이구나 했습니다 감독님께서 최대한 많은 이야기를 꾹꾹 눌러 담으려 하신것 같아요 전 재밌게 봤어요 그리고 중국 여관 여자는 허구의 인물입니다. 그외는 실존인물이고요.  ,10
압꾸정,오랜만에 영화고ㅓㄴ에서 잤습니다,6
다이 하드 3,모든걸 만족시키는 최고의 액션영화,10
탄생,"제2의 페이퍼타올이 요기잉네, 웃참하느라 눈물흘렸음종교인 아니면 보는것이 괴로울듯종교적 위인의 일대기, 서사는 감동적",1
블랙 팬서: 와칸다 포에버,그냥 영화 자체가 좀 우울했음 ㅜ,6
올빼미,너무재밌다 류준열 나오는 영화는 다 재밌네,10
26년,잊지말아야할 역사.그 추종자들이 무시하는 진실.,10
26년,잊지말아야할 역사.그 추종자들이 무시하는 진실.,10
데시벨,이런것도 영화라고 참..ㅋㅋㅋ,6
원피스 필름 레드,이때까지  원피스 극장판이랑 성격이 완전 다름러브라이브 보는 줄  액션연출도 최하급,1
압꾸정,배우들 케미가 최고 ㅎㅎㅎㅎ 마블리는 역시 마블리였다!!,10
탄생,"우리의 이야기, 곧 성인의 이야기.",10
올빼미,영화이지만 조선의 왕과 주변 등장인물의 상황이 너무나 맞지 않는영화인것 같습니다. 의술 시침때 주변사람들이 없는것등 이전 대장금의 드라마 허준 드라마를 볼때 너무나 주변 상황과 사람이없다는것이 오히려 기존의 사극과 이질적인 느낌이 듭니다,4
올빼미,정말 역사 고증 하나하나 다  지켜 가며 이런 긴장감을 어떻게 만들어 내는거죠..?,10
올빼미,"스토리 탄탄하고, 반전, 연출 다 수준높고 류준열의 연기력은 날로 갈수록 발전하네요",10
올빼미,와 진짜 오랜만에 긴장하면서 끝까지 다 본 영화 보세요 꼭 진짜 .,10
올빼미,재밌었어요,10
탄생,A Birth,7
올빼미,최근 한국영화 치고는 연출이 상당히 좋은편.기억에 남는 연출이 많음,8
올빼미,재밌어요!꼭보세요 연기군에 ,10
탄생,과장없이 담담하게 김대건 신부의 일대기를 그려냈음 그러나 초중반의 너무 긴 설명으로인해 급 마무리와 극적인 장면이 부족하여 대중성은 글쎄..그때 당시의 나라정세와 김대건신부의 교육과정을 좀 단축하고 후반부를 좀 더 디테일 하게 잡았다면 대중성영화로도 가능했을거 같은데 아쉬움,6
탄생,새로운 윤시윤의 발견!,10
탄생,김대근 신부역 윤시윤배우 감동적입니다 탄생  대박 날거예요 화이팅!!!!,10
힐빌리의 노래,책도 너무 재밌게 봤는데 영화도 정말 좋았음 특히 글렌클로즈… 글렌클로즈가 레전설 배우임에도 오스카 운이 지독하게도 없는 배우인데 하필 이영화로 다시 한번 조연상 후보에 올랐는데 경쟁 배우가 윤여정일 줄 누가 알았냐고…개인적으로는 글렌클로즈가 이 영화에서 너무나 연기를 잘해서 조연상 타길 바랬음.윤여정은.. 솔직히 이전 영화나 드라마의 연기가 미나리보다 훨씬 탁월했기때문에 큰 인상을 못받았는데..해외에선 굉장히 인상적이었겠지.. 여튼 증말  이영화에서 글렌클로즈의 과격하지만 따수운 할매 역할이 너무 좋았음. 이 영화 벌써 세번 봄.,10
시간위의 집,개연성이 좀 떨어진다.,5
양자경의 더 모든 날 모든 순간,단순한 액션영화인줄 알고 예매했다가 엄청 울고 말았어요,10
압꾸정,정경호 역시 연기잘하고 마사장은말할것도 없음 투샷 보니 오나라가미모로 13살어린 오연서 바르더라ㄷㄷ가볍고 웃고 즐기는 영화 후회없음,10
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",얼굴이다함… 제발보러가세요,10
탄생,감동적인 스토리와 윤시윤의 연기력에 흠뻑 젖을수 있던 영화..,10
올빼미,유해진 류준열 배우야 연기 워낙에 잘하시고이번 영화에서 김성태배우 선이 다른 연기 인상 깊었어요! 딕션도 좋고 너무 잘어울려 현빈이 떠올랐음잘 봤습니다!,9
본즈 앤 올,마지막에 저도 모르게 눈물 흘렸어요ㅠㅠ 지금 이거 쓰는 순간에도 여운 미쳤습니다ㅠㅠㅠㅠ,10
올빼미,"스토리가 너무 흥미로웠고 류준열, 유해진 배우의 연기는 말 할 필요도 없이 좋았습니다. 강추!",10
자백,배우들 연기력은 인정합니다.다만 스토리는 별루에요,7
올빼미,박진감 넘치고 재미있습니다 간만의 국내영화 몰입해서 봤네요,10
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",안구 건조증 있는 사람은 꼭 보세요..ㅠ,10
올빼미,꿀잼이요요요ㅇ요요ㅛ요ㅛ,10
인생은 아름다워,무거운 주제를 가지고 즐겁고 행복하게 만들 영화,10
양자경의 더 모든 날 모든 순간,뭐든지 가장 못하기 때문에 결국엔 가장 잘하게 될 그대에게 필요한 영화,10
올빼미,배우들의 엄청난 연기와 긴장감 넘치는 연출 덕분에 시간 가는줄 몰랐어요. 몰입감도 좋았고 실제 역사를 바탕으로 그럴듯하게 이야기를 잘 풀어나가듯 좋았어요,9
압꾸정,처음엔 재밌게봤는데 지루해서 잠오네요,2
탄생,"크게기대않고시사회에갔다가 젊은김대건신부가헤쳐온고난과역경, 순수하게추구한종교적삶에깊이공감하고눈물범벅이되어돌아왔습니다. 많은분들이위영화를놓치지않으면좋겠습니다^",10
리멤버,쓰레기 영화입니다. 좌빨 감독의 ,1
올빼미,유해진배우님 명연기에 감동!류준열배우님도 표정연기에 압도적 몰입감으로  잠시도 눈을 땔수없었음...보는동안 행복했어요!천만 가자^^ ,10
올빼미,간만에 굉장히 재밌게 본 영화네요 연기력 최고 스토리 최고 반전에반전 굳,10
올빼미,연기 잘하는 배우들로 만든영화는 기본이상은 하는 것 같음... 좋은 소재로 잘 풀어간 영화,10
정직한 후보2,그래도 잊지않고 돌아와준 쌍주둥이! 누가뭐래도 그녀의 노력은 박수받을만하다.,9
인생은 아름다워,모든 사람들의 인생에서 아름다운 순간들을 함께 찾아주다.,10
올빼미,"박진감 넘쳐서 시간 가는 줄 모르고 봄.류준열, 유해진 연기 좋다.",10
자백,계속되는 긴장감이 결국에는 피곤함만을 이끌어오다.,6
올빼미,시간 가는줄 몰랐고 .. 믿고 보는 두배우 ㅠ스토리자체가 흥미로웠던 !,10
블랙 팬서: 와칸다 포에버,와칸다포에버를 외치는 사람들을 위한 위로의 시간을 만들다,10
양자경의 더 모든 날 모든 순간,솔직히 보고 나서 참 괴랄한 영화다하는 생각만 하였다.감독은 도대체 무엇을 이야기하고 싶었을까?는 나중에 알기는 하겠지만.. 참 취향에 안맞는 괴랄한 영화임.,5
명탐정 코난: 할로윈의 신부,다음 시리즈를 기다리게 만들며 완성도 높은 스토리로 풀어나간 영화,10
데시벨,감동적이나 스토리전개가 뭔가가 빠진듯 부족함..,6
파워 오브 도그,아씨….나만이해가안되나?,8
올빼미,이 영화 주인공이 가진 특징과 이에 대한 연출을 기가 막히게 표현해 좋았다. 보는 동안 긴장감을 주고 작품이 다른 사극과 달리 현실적인 점도 마음에 든다. 최근에 본 영하 작품 중 가장 좋았고 볼만 했던 것 같다. 짱@!,10
올빼미,연기는 말할것도 없고 첫장면부터 마지막까지  몰입해서 감상했어요스토리도 탄탄하고 연출도 좋았고류준열 배우 연기 대박 ,10
"오늘 밤, 세계에서 이 사랑이 사라진다 해도","대사 하나하나가 너무 소중했던 영화, 원작도 보려구요",10
올빼미,정말 오랜만에  몰입도 높은 영화를 봐서 좋았습니다! 2시간이 언제 흘러간지도 모르게 정말 재밌게 봤습니다!,10
엔시티 드림 더 무비 : 인 어 드림,엔시티 드림 영원하세요... 또 보고 싶다...,10
"오늘 밤, 세계에서 이 사랑이 사라진다 해도","자고 일어났을때, 기억이 사라진다. 라는 소재가 어떻게 표현될까 했는데, 감동적이면서도 마음한켠 저리고 아팠다. 나도 모르게 눈물이 났다. 추억을 기억하지 못하는것만큼 절망스러운일이 있을까 ",10
압꾸정,재미로만 보면 되는 영화. 감동같은건 버리고 보세요.배우들의 연기만 매우 좋았습니다.,7
블랙 팬서: 와칸다 포에버,기대 안하고 봤눈데 ㄱㅊㄱㅊ,10
탄생,그 시대 그 나이에 쉽지 않은 선택과 행동 결단력을 보여준 김대건 신부.,7
탄생,김대건신부님 스토리가 감동적입니다. ,10
시간이탈자,좋은 소토리를 연출로 망쳐버린 영화,5
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",이거 개슬픔ㅠ보는 내내 눈물ㅜㅜ,10
인생은 아름다워,말이 필요없네요~ 그래도 남기자면...감사합니다.아름다운 영화를 보게 해주셔서...,10
스트레인지 월드,pc가 모든 걸 끝장냈다.,1
올빼미,배우들 연기가  명품입니다,10
겨울왕국 2,19.12.01.노래만 남아버린.,5
올빼미,기대안하고 봤는데 진짜 재밌게 봤다!,9
늑대사냥,"제가 여태까지 영화 리뷰 한번도 단적 없는데요배우 , 제작비 너무 아까운 영화입니다 스토리, 연출 , 액션 무슨 쌍팔년도 영구와땡칠이보다 못합니까 ?제작자는 투자하고 이런 영화 나와서 너무 황당했을듯;;;",1
압꾸정,"코믹이라 감동은 없지만, 웃음코드가 맞는다면 종종 웃을 장면들이 있습니다. 대사를 잘 들으셔야되요. ^^",8
헬 카운트,무섭다기 보단 흥미롭다,6
장고:분노의 추적자,"19.11.15.더는 역함을 참을 수 없었다던 노인의 마지막 모습과,흑인음악 울려퍼지며 총을 연발하는 영웅과 히로인.",10
압꾸정,감사합니다 잘봤습니다,10
본즈 앤 올,"배우들의 연기가 너무 좋아요 루카 감독 영화들은 다 내 스탈,,",10
닥터 슬립,"19.11.10.아예 생각도 않고 있다가 깨달았을 때의 그 전율.이어져 있지 않았더라도 행복했을 작품이었는데, 호텔에 들어선 그 순간부터는.",10
원피스 필름 레드,"음악과 영상미는 원피스 극장판을 통틀어 역대급이다. 베이스가 축제의 섬이라 그런지 화려한 볼거리, 풍성한 음악들이 눈과 귀를 호강시켜준다. 하지만 그로 인해 버려진 액션과 스토리는 너무나도 아쉽다.. 빈약한 스토리 설정에 우타 한 명에게 서사를 몰빵하느라 밀짚모자 일당은 영화 내에서 잘 드러나지도 않는다",6
탄생,천주교인으로 김대건 신부님이 순교하신것은 알고있었으나 그분의 일대기를 눈으로 볼 수 있어서 참 좋았네요 보는 내내 큰 빠른 전개는 없었지만 잔잔한 감동으로 벅찬 시간이였습니다.,8
옆집사람,소재는 좋은데 남자가 너무 암걸려서 ..,6
원피스 필름 레드,개꿀잼… 마지막에 샹크스 패왕색 지렸습니다,10
왓칭,암걸리고 싶은 사람속터져 죽고 싶은 사람에게 적극 추천,1
압꾸정,국민배우 믿고 재밋게 봤네요^^,10
원피스 필름 레드,솔직히 노래가 많이 나왔지만 빨강머리 해적단의 퍼포먼스를 볼수있었고 원피스팬이라면 볼만하다고 생각함 ,8
원피스 필름 레드,우타한테서 자꾸 웨딩비치 변신 효과음같은거 나서 짜증남..ㅎ 그리고 현란색 너무 많이써서 산만하고 흥행성적은 영화가 잘 만들어서가 아니라 걍 원피스를 보는 사람이 ㅈㄴ 많아서 잘나온거 같음..,6
탄생,역사책에서 뵙고 서교동 성당입구에 있어서 왔다갔다하다 누구지? 하고 본 기억이 있습니다. 그때는 참 젊은 나이에 순교하셨구나 이런 생각만 했는데 영화상에서 그시절 힘겨웠던 순간을 알게되고 그렇게 고난의 시절을 보내며 발전했는데 지금은 과연 종교란것이 어떤가 하는 생각이 많이 들던군요. 종교로 인하여 더많은 희생이 없었으면 하는 바램입니다.,9
올빼미,시간 가는 줄 모르고 봤네요 ,10
데시벨,이런영화에 누가 투자를 해주는건지....배우들만 아까웠음... ,1
올빼미,한산을 이은 올해의 영화 입니다.너무 재밌게 잘 봤습니다.,10
헤어질 결심,"비루한 인생을 살아가는 두 사람이 서로의 의미를 과해석하는 이야기. 제발 현생을 똑바로 살자. 니 인생이 뭣같은 것은 누구의 탓도 아니고, 다른 누가 구원해줄 수 있는 것도 아니다.",2
"오늘 밤, 세계에서 이 사랑이 사라진다 해도","소설읽고 봤는데도 재밌네요. 배우 캐스팅도 좋았고, 특히 불꽃축제 장면이 제일 기억에 남을 거 같아요",10
엔시티 드림 더 무비 : 인 어 드림,nct dream 화이팅~~,8
탄생,기대하지않고 봤는데...넘 감동적입니다...,10
헤어질 결심,정말 오랜만에 리뷰해봅니다… 몇달만에 우연히 ost를 들으니 또 영화가 보고 싶어지네요. 박찬욱의 야하지만 야하지않은 영화! 추천!!!,10
본즈 앤 올,보는 것 만으로 감탄이 나오는 영화,10
올빼미,진짜 돈아깝다...단순한 내용으로 질질끌고,2
올빼미,제가 원래 영화 볼 때 좀 졸거든요 그런데 이 영화는 3초 존 것 같아요 그만큼 몰입도나 연기가 너무 감칠맛 난 스릴 있는 영화였다고 할 수 있겠어요 다시 한 번 감탄하고 갑니다. 꼭 보세요,10
본즈 앤 올,너무 좋았어요..ㅋㅋㅋ 보는 사람마다 감상평이 다를 것 같긴한데 생각해 볼거리도 많고 여운도 남고 좋았습니다:),10
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",연출 연기 스토리 영상미 OST까지 완벽함밋치랑 리코 조합 진짜 사첫이후에 또 볼수 있어서 너무너무 좋았다ㅠ 영화 끝나고 좌우맹 노래 나오는것도 뭔가 가슴을 울리는 느낌으로 너무 좋았어요!그리고 무엇보다 2시간동안 밋치 얼굴 볼수 있는게 최고로 좋았어요!이 영화 진짜 내려가기전에 계속 봐야겠다,10
국제시장,스토리가 너무 급전개되는 느낌이 있었음...,5
탄생,조금 긴데 영화가 대충 대충 넘어가네요 처음에 왜 김대건신부가 부모님한테 부터 그냥 역사 이야기도 대충 대충 넘어가네요 배 이야기도 파도 빼곤 별다른 내용이없네요 대충 넘어가고 마지막에 허무하다,4
탄생,"잘 몰랐던 한국사와 세계사를 김대건이란 인물로 한꺼번에 이해할 수 있었던 영화이다.윤시윤의 연기가 돋보였고, 다국어로 제작된 영화로 실감이 났고, 김대건 신부님과 한국의 순교 신자들을 보며 안타까웠다. 영화 탄생 덕에 내가 알아야 할 것들을 좀 더 쉽게 공부하게 되어서 좋았고, 김대건 신부님을 알게 되어 좋았다. ",10
원피스 필름 레드,역시 원피스 와이프랑 둘이 잼나게 봤네요,10
원피스 필름 레드,음악은 좋고 스토리는 빈약하고 오카는 좋고,4
탄생,간만에 나온 감동가득한 실화역사,10
블랙 팬서: 와칸다 포에버,최고 2번정도 더 볼듯하다,10
압꾸정,액션 코믹에 특화된 배우,6
너의 이름은.,내가 지금까지 본 애니메이션 영화중 최고였다.,10
올빼미,최근 들어 본 한국 영화 중 단연 최고입니다.,10
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",너무 재미있어요 ㅎㅎ 아름다운이야기네요,10
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",소설 원작과는 구체적인 이야기가 조금 다르긴 하지만 배우들 연기력이 너무 좋았고 영화 그림이 되게 예뻤어요.. 보면서 눈물 찔끔 ㅜㅜ 소설을 재밌게 읽어서 다시 읽었었는데 영화도 다시 보고 싶어지네요.. ,10
올빼미,"영화 중반까지는 배우들의 연기로 인해 몰입감도 매우 높고 만족할만 합니다.영화 후반에 역사에 너무 맞추려고 했는지, 아니면 개그 코드를 넣고 싶었는지 스토리도 약간 붕 뜬 느낌도 보이고 몰입감이 떨어지는 부분이 있습니다.전반적으로는 만족합니다. ",8
원피스 필름 레드,진짜 보다가 잣습니다 소재는 신박한데 아직 받아들이기엔 이른거같음,2
압꾸정,마블리 믿고 봤는데 믿는도끼에 발등 씨게 찍힘이정도면 산재청구도 가능,1
압꾸정,ㅋㅋㅋㅋ 코미디인줄알고봤는데 95프로가 심각한 내용이라 드라마 보는줄 알았어용~ ,1
올빼미,반전에 반전… 아~~~~ ! 라는 말이 그냥 나왔음.,10
양자경의 더 모든 날 모든 순간,세상이 미치지않고선 이게 평이 10점일리가없다..,1
올빼미,평점 알바 풀었나. 극단적인 칭찬평만 있어서... 스토리도 연기도 거슬리는 것 없이 좋았다. 영화관에서 보는 것이 돈아깝지 않은 영화였다. 캐릭터 맡은 배우의 기존 작품으로부터 입혀진 이미지 선입견이 있었는데 웃음기 하나없이 몰입할 수 있었다. ,8
원피스 필름 레드,노래는 좋았어요,5
올빼미,괜찮긴 했는데 기대가 컸나보다 중간에 조금씩 지루.,8
파이어버드,시대가 검열한 사랑. 실화라서 더욱 안타깝다.,7
원피스 필름 레드,와이프 데리고 가서 같이 봤는데 제가 원피스를 좋아한다는 사실이 너무 창피했습니다. 노래는 유명한 가수가 불렀다고 하는데 왜 유명한지 모를정도로 발성이 굉장히 오글거리고 스토리 전개에도 개연성이 전혀 없습니다. 이랬다가 저랬다가... 본편하고도 크게 관계는 없어보이고 굳이 내용 알고 싶으시면 나중에 스포있는 유튜브 리뷰 보는 게 훨씬 나을 것 같아요. 원피스가 손발 오그라드는 거 참아가며 봤던 만화는 아닌데 선을 많이 넘었네요. 웬만하면 별점 안 남기는데 기대하시는 분들 많으실 것 같아서 남깁니다. 고민 많이 하시길 바랄게요. ,1
리멤버,역사 왜곡과 선동ㅋ반일선동영화 폭망하는 이유다,2
탄생,"역사기반이라 삶의 과정을 보여주는 중간중간 지루한 부분이 있었지만, 감동적인 결말. 지금의 자유로운 종교를 위해 피로쓰여진 위인의 일대기",10
탄생,"연기도 좋고, 뭔가 시대극스런 스케일 장엄하고도 다큐처럼 담담한 연출도 좋은데 초중반이 좀 길게 느껴집니다. 아마도 한 인물의 일대기에 동서양 방대한 역사를 축약하다보니 그리된 걸로 보이네요. 생각보다는 종교색이 덜했고.. 역사이야기가 많아 배경지식이 좀더 있었다면 재밌게 봤을텐데 생각이 들었어요. (유튜브 클립영상 좀 보고 가시는거 추천드립니다) 진짜 해양 어드벤처 느낌 날 정도로 바다씬이 많았네요. 배우분들도 무척 고생했겠다 싶습니다. 유명배우들도 많이 얼굴 비춰서 신기했습니다. 주연인 윤시윤 배우는 소년에서 어른이 되고? 진짜 성인?이 되는 과정을 참 잘 그려내신거 같아요 생각보다 연기가 자연스럽고 좋았습니다. 라스트씬은 정말 김대건 신부님이 느껴졌고요. 그리고 동료인 최양업 역할하신 이호원?분은 외국어 대사 엄청 잘치시는게 막귀로도 느껴집니다 ^^;; 이참에 외국어 도전해보심이 ^^;; 그리고 중국 객잔?식당? 여직원? 그분 연기도 신선하니 좋았어요 신인이라니 믿기지 않네요. 정말 모두가 고생하신 듯요. 마지막부분이 조금 슬프게도 짧은 잔인함이 있지만 그래서 여운이 훨씬 길게가는 듯합니다 그래도 어린 자녀 같이보는건 좀 그럴듯하니 참고하시기 바랍니다. 고생 많으셨고 끝으로 한줄평 드리자면 이 영화는 타종교나 무교인 분들도 &amp;#34;생각보다&amp;#34; 크게 무리없이 볼수있는 국제? 시대극 같습니다.",8
올빼미,정말 재밌게 봤어요!!!! 친구들한테도 추천함 ㅎㅎ,10
원피스 필름 레드,원피스에 씹덕노래가 나온다?못참지,10
올빼미,진짜 이번년도에 본 영화중에 손꼽힐 만큼 개재밌고 엄청 스릴일고 재밈ㅅ어요 꼭봐요 진짜..,10
코코,20번은 본거같네요 볼때마다 좋아요,10
탄생,김대건 신부님을 좀더 알게됐고 보는내내감동이 복받치더군요 배우들 연기도 아주 좋았어요,10
베르히만 아일랜드,현실과 영화의 미묘한 차이와 경계,6
압꾸정,내용은 그저그런데 마동석 드립이 웃김,8
런,수수께끼를 풀어준 죄.,6
데시벨,영화가 애매함. 싸게 보긴 했지만....,5
블랙 팬서: 와칸다 포에버,더이상의 마블영화는 안볼듯..그간 정때문에 봐온거같다,2
압꾸정,"마동석, 정경호 배우분들 연기 좋았구요. 재미있게 잘 봤습니다.",10
탄생,천주교의 색체보다는 한사람의 일생을 감동적으로 보여 주었어요 제가 신자지만 영화끝까지 감동이였습니다,10
올빼미,역시 믿고보는 유혜진  류준열 연기 미쳤다,10
압꾸정,재미있어요재미있어요,8
압꾸정,웃긴 장면은 꽤 있었는데 마무리가 아쉬운 느낌..,3
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",재미있어요재미있어요,8
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",상영 가능한 곳이 1시간 거리였는데 거기까지 가서 본 걸 후회 안 할 정도로 너무너무너무 재미있었어요 ,10
즐거운 인생,괜찮구만 평론가것들 헛소리들은,8
데시벨,그냥저냥 볼만했어요,8
올빼미,올해 본 영화중에 최고입니다 ,10
블랙 팬서: 와칸다 포에버,재규어라 미리미리 잘 피하네요,8
올빼미,본다는 것은 무엇이더냐?,10
앙: 단팥 인생 이야기,사람들은 모두 쓸모있게 태어났다..힘내자!,10
원피스 필름 레드,콘서트 뮤지컬 같은 느낌의 극장판이고 재미도 있는데 다른 극장판 원피스 처럼 액션 스토리 생각하고 보시면 실망할 수 있어요. 감동은 있는데 스토리가 거창한것도 아님. 뮤지컬 노래 기대하고 보셔야됨.,8
리멤버,정치적 의도가 느껴지는 영화.. 억지로 끼워 맞추려다 보니..공감이 하나도 안감..  나만 그런가?,1
리멤버,정치적 의도가 느껴지는 영화.. 억지로 끼워 맞추려다 보니..공감이 하나도 안감..  나만 그런가?,1
본즈 앤 올,배우들 연기도 너무 좋았어요 N차 가야겠습니다!!,10
올빼미,스릴러.정말...이렇게 전개가이루어질줄이야.2시간넘는데 1시간같아요.정말 대박ㅜㅜㅜㅡ,10
극장판 가면라이더: 세이버X젠카이저 슈퍼히어로 전기,극장에서 보니까 더 재밌던거같아요,10
투사부일체,잼남 평점이 넘 적어서 이상하네요,10
원피스 필름 레드,일본만화 디즈니임무지컬만화,1
고지전,멸공이 답이다 멸공ㄱㄱ,10
블랙 팬서: 와칸다 포에버,친구랑 보러갔는데 재밌었더,1
올빼미,류준열배우님 섬세해진 연기에 감동유해진배우님 뭘해도 다 잘하세요.스토리나 흐름도 좋고 영화보는 시간 내내 집중했어요.  ,9
늑대사냥,"영화 시작 반도 안되서 일제시대틀딱시체솔져 나와서 서인국 포함 주조연급 다 죽이고 빌런 성동일도 막판 죽고 끝. 비 정지훈 영화는 좃 같아서 거르기라도 하고, 김수연 영화는 설리 베드신이라도 보며 풀기라도 했지.. 이건 감독이 서인국 팔아서 티켓 팔아먹고 튄 망작이다.. 섹스씬이라도 질펀하게 넣던가..",1
압꾸정,마동석의 개그 역시 ㅎㅎㅎ 보는내내 웃다끝나요 ㅎㄹ,10
에브리씽 에브리웨어 올 앳 원스,나또한 엄마의 조이이자 조부 투바키였다,10
탄생,영화를 보다보면 벅찬 감정으로 눈물이 차 오르는 순간이 있다. 나는 종교가 없지만 그것을 뛰어넘는 무언가를 느낄 수 있는 영화였다. 한국사람이라면 아마 그게 무엇인지 어렴풋이 알 수 있을 것이다. ,10
원피스 필름 레드,일단 좋은노래로 먹고들어감,10
극장판 유루캠△,큰 재미는 없었지만 잔잔한 감동이 느껴지는 힐링애니였습니다.,10
기억의 밤,걍 킬링타임용... 감독 다음 작이 기대되진 않을 듯,6
올빼미,사극영화 중요한걸 뽑으라면 역사적 공백을 얼마나 잘 각색하냐 인데 스토리도 너무 잘짠것 같고 올해 본 국내영화중 가장 재밌었습니다,10
올빼미,오랜만에 볼만한 영화!!,10
올빼미,최고... 류준열 유해진 이제 믿고 본다 ! 그리고 탄탄한 스토리와 훌륭한 연출 !,10
악질경찰,"시나리오를 쓰다보니 세월호가 나온건지, 세월호를 위해 시나리오를 쓴건지...",3
데시벨,카메라가 너무 흔들리게 찍은 탓인지 보다가 어지러워서 머리 아팠고 전개도 별로였음,3
드라이브,라이언고슬링..  ost...연출 세박자가..최고!,10
올빼미,우와 내평생 최고의 영화!!!!,10
압꾸정,마동석영화 질릴때 되지않았냐항상 똑같음 범죄도시도 1은 진짜 재미있었는데 2는 울궈먹기에 유행어 만드려고 드립만치고 노잼인데 4까지 만든다고? 뇌절,1
본즈 앤 올,이런 쓰레기를 평점으로  추천하는 인간들은 뭐냐?스트레스 최악의 쓰레기 !  평점 (마이너스 무한대)최악의 스트레스 유발 염상물   ????지발 평점으로 작난질 마라 !,2
글래디에이터,칼싸움도 볼만하다는걸.,7
압꾸정,영화보다가 존거 처음이에요 ,4
올빼미,"유해진의 연기는 언제나 미쳤음악역,코미디등등 다 잘함내용도 좋은데 마무리가 이상함근데 어떻게 딱 요즘 얘기같냐ㅋㅋㅋ윤무속 얘기임? 바이든으로 국민들 청각테스트하고쥴리가 빈곤포르노 찍으면서 누가봐도 조명썼는데 아니라고 박박 우기면서 시각 테스트하는데본거 그대로 봤다고 말하면 안되는...ㅋㅋㅋㅋ",8
고속도로 가족,보육원이라는곳이 누구나 보내도 맘편하게 보낼수 있는 나라가 됬으면 합니다 아이들이 굴거나 학대를 받으면 나라에서 책임을 지는 시스템이 됬으면 합니다 어느 누구나 대한민국 아이라면 즐기고 공부할수 있는 권리가 있는 나라 였으면 좋겠습니다 ,8
원피스 필름 레드,원피스를 가슴이 웅장해지는 맛으로 보는거지 이딴 춤추고 씹덕노래 부르는거 보고싶어서 보는게 아냐,1
원피스 필름 레드,보지 마셈 보지말라면 보지 마,2
